name,type,location,price,duration,source,rating
Voyage Organisé à Istanbul en Turquie le Mois d'Avril.,offer,Ancolie Tours,101000.0,,ouedkniss_voyages_tourisme,
Voyage organisé Istanbul,offer,Nasser Tours,127000.0,,ouedkniss_voyages_tourisme,
Voyage organisé Egypte & Charam el chikh,offer,Nasser Tours,176000.0,,ouedkniss_voyages_tourisme,
Voyage organisé KUALA LUMPUR,offer,Cheval Blanc Voyages,245000.0,,ouedkniss_voyages_tourisme,
Voyage Organisé Sénégal,offer,Wonderland Travel,315000.0,,ouedkniss_voyages_tourisme,
Voyage organisé la RUSSIE,offer,Wonderland Travel,289000.0,,ouedkniss_voyages_tourisme,
voyage organisé AZERBAIDJAN MARS,offer,NATIONAL TRESOR VOYAGE,219000.0,,ouedkniss_voyages_tourisme,
Voyage Organise Istanbul,offer,IDCOM TRAVEL,127.0,,ouedkniss_voyages_tourisme,
Malaisie voyage organise circuit de 3 villes 344 999,offer,NATIONAL TRESOR VOYAGE,349999.0,,ouedkniss_voyages_tourisme,
Voyage organisé Tunisie par Avion AVRIL / MAI,offer,LOVER TRAVEL,70000.0,,ouedkniss_voyages_tourisme,
Voyage Organisé Istanbul avril 2026,offer,Non Stop Travel,115000.0,,ouedkniss_voyages_tourisme,
Voyage organisé Combiné Kuala Lampur & Lankawi 2026,offer,Non Stop Travel,288000.0,,ouedkniss_voyages_tourisme,
VOYAGE ORGANISÉ À TIMIMOUN ( LE JOYAU ROUGE DU SAHARA ),offer,Non Stop Travel,60000.0,,ouedkniss_voyages_tourisme,
VOYAGE ORGANISÉ BALI 2026 A HEAVEN ON EARTH,offer,Non Stop Travel,390000.0,,ouedkniss_voyages_tourisme,
Voyage organisé istanbul ( vacances de printemps),offer,Wonderland Travel,99900.0,,ouedkniss_voyages_tourisme,
Voyage organisé vers la tunusie,offer,Nasria Tours,33000.0,,ouedkniss_voyages_tourisme,
Valise pilote style cabine,offer,Valises,27.0,,ouedkniss_voyages_tourisme,
Location vacances Appartement F2 Alger Rais hamidou,hotel,chez l'habitant la vigie,9000.0,,ouedkniss_location_vacances,
Location vacances Appartement F4 Oran Bir el djir,hotel,MR Oran Location,14000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Boumerdes Boumerdes,hotel,Immo Atco,9500.0,,ouedkniss_location_vacances,
Location vacances Bungalow F3 Tipaza Tipaza,hotel,Bungalow,6000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Bir el djir,hotel,MR Oran Location,8000.0,,ouedkniss_location_vacances,
Location vacances Appartement F5 Alger Zeralda,hotel,Icosuimimmo,150000.0,,ouedkniss_location_vacances,
Location vacances Appartement Alger Bordj el kiffan,hotel,Talamou voyage,15000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Alger Ben aknoun,hotel,Garden résidence,16000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Bordj el bahri,hotel,Talamou voyage,11.0,,ouedkniss_location_vacances,
Location vacances Niveau De Villa F2 Alger Bab ezzouar,hotel,Oussama Location Vacance,5500.0,,ouedkniss_location_vacances,
Location vacances Oran Bir el djir,hotel,السمو للترقية العقارية,16000.0,,ouedkniss_location_vacances,
Location vacances Oran Bir el djir,hotel,السمو للترقية العقارية,12000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Ain taya,hotel,Talamou voyage,30000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Ain benian,hotel,Talamou voyage,111.0,,ouedkniss_location_vacances,
Location vacances Appartement Studio Alger Ben aknoun,hotel,Garden résidence,13000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Bordj el bahri,hotel,Talamou voyage,111.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Alger Bachdjerrah,hotel,Appartement,8000.0,,ouedkniss_location_vacances,
Location vacances Bungalow F1 Blida Chrea,hotel,Talamou voyage,20000.0,,ouedkniss_location_vacances,
Location vacances Villa Tipaza Bou haroun,hotel,Talamou voyage,25000.0,,ouedkniss_location_vacances,
Location vacances Villa Tipaza Tipaza,hotel,Talamou voyage,12345.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Alger Ben aknoun,hotel,Garden résidence,15000.0,,ouedkniss_location_vacances,
Location vacances bien immobilier Blida Bougara,hotel,Appartement,20000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Tlemcen Tlemcen,hotel,Appartement,3500.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Bir el djir,hotel,West-immo,12000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Bir el djir,hotel,MR Oran Location,12000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Sétif Setif,hotel,Elbahdja immo setif,6000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Bir el djir,hotel,Elmanzeh Immobilier,15000.0,,ouedkniss_location_vacances,
Location vacances Appartement F5 Alger Dely brahim,hotel,FELOUSSIMMO,10000.0,,ouedkniss_location_vacances,
Location vacances Appartement Niveau de villa F2 Alger Dely brahim,hotel,FELOUSSIMMO,12000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Oran Ain el turck,hotel,Appartement,6000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Alger Cheraga,hotel,FELOUSSIMMO,8000.0,,ouedkniss_location_vacances,
Location vacances Appartement Niveau de villa F4 Alger Draria,hotel,FELOUSSIMMO,10000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Baba hassen,hotel,FELOUSSIMMO,65000.0,,ouedkniss_location_vacances,
Location vacances Niveau De Villa F2 Alger Bab ezzouar,hotel,Oussama Location Vacance,5000.0,,ouedkniss_location_vacances,
Location vacances Appartement F4 Alger El biar,hotel,FELOUSSIMMO,20000.0,,ouedkniss_location_vacances,
Location vacances Appartement Niveau de villa F3 Alger El biar,hotel,FELOUSSIMMO,12000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Alger Hydra,hotel,FELOUSSIMMO,12000.0,,ouedkniss_location_vacances,
Location vacances Appartement F5 Alger Hydra,hotel,FELOUSSIMMO,12000.0,,ouedkniss_location_vacances,
Location vacances Villa Boumerdès Boumerdes,hotel,Villa,1000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Constantine El khroub,hotel,Appartement,8000.0,,ouedkniss_location_vacances,
Location vacances Appartement F4 Oran Bir el djir,hotel,Elmanzeh Immobilier,20000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Oran,hotel,Elmanzeh Immobilier,15000.0,,ouedkniss_location_vacances,
Location vacances Appartement F5 Oran Oran,hotel,Elmanzeh Immobilier,15000.0,,ouedkniss_location_vacances,
Location vacances Appartement Studio Oran Oran,hotel,Elmanzeh Immobilier,8000.0,,ouedkniss_location_vacances,
Location vacances Appartement F4 Oran Oran,hotel,Elmanzeh Immobilier,15000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Oran Oran,hotel,Elmanzeh Immobilier,9000.0,,ouedkniss_location_vacances,
Location vacances Villa Oran Ain el turck,hotel,Elmanzeh Immobilier,35000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Alger Alger centre,hotel,Appartement,11000.0,,ouedkniss_location_vacances,
Location vacances Villa Aïn Témouchent Bou zedjar,hotel,Elmanzeh Immobilier,25000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Beni messous,hotel,Talamou voyage,11110000.0,,ouedkniss_location_vacances,
Location vacances Appartement F2 Oran Bir el djir,hotel,MR Oran Location,8000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Oran,hotel,Luna immobilier,10000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Oran Oran,hotel,Luna immobilier,13000.0,,ouedkniss_location_vacances,
Location vacances Appartement Oran Oran,hotel,Luna immobilier,12000.0,,ouedkniss_location_vacances,
Location vacances Villa Alger Draria,hotel,Talamou voyage,1111.0,,ouedkniss_location_vacances,
Location vacances Bungalow Tipaza Tipaza,hotel,Bungalow,6000.0,,ouedkniss_location_vacances,
Location vacances Appartement Boumerdès Boumerdes,hotel,Appartement,4500.0,,ouedkniss_location_vacances,
Location vacances Niveau De Villa F1 Alger Bab ezzouar,hotel,Oussama Location Vacance,4000.0,,ouedkniss_location_vacances,
Location vacances Villa Tipaza Tipaza,hotel,Talamou voyage,1110000.0,,ouedkniss_location_vacances,
Location vacances Appartement F3 Alger Ain taya,hotel,Bureau D'affaires Affaire Conclue,8000.0,,ouedkniss_location_vacances,
Desert Luxury Retreat â Djanet,offer,Algeria,85000.0,7.0,ss_travel,
Sahara Family Adventure â GhardaÃ¯a,offer,Algeria,42000.0,5.0,ss_travel,
Circuit Historique â Timimoun,offer,Algeria,38000.0,6.0,ss_travel,
Team Building DÃ©sert â Tamanrasset,offer,Algeria,55000.0,3.0,ss_travel,
Sahara Student Trek â Djanet,offer,Algeria,18000.0,4.0,ss_travel,
Eco-Sahara Responsable â Tassili,offer,Algeria,48000.0,8.0,ss_travel,
