name,type,location,price,duration,rating,cost_per_day,cluster,cluster_label
Vacances de Printemps à TAGHIT Du 25 AU 28 Mars par avion et vivez le désert en grand confort à l'hotel SAOURA,offer,Terre Inconnue,60000.0,1.0,,60000.0,2,budget
Billetterie Disponible Toutes Les Destinations,offer,Talamou voyage,111.0,1.0,,111.0,2,budget
#برنامج_رحلات_تونس_بالحافلة_أكتوبر_2025,offer,Access Tourisme & Services,40000.0,1.0,,40000.0,2,budget
VOYAGE DJANET CIRCUIT IHRIR MARS & AVRIL,offer,KHERDJA VOYAGE & TOURISME,88000.0,1.0,,88000.0,2,budget
TIMIMOUN PAR AVION MARS & AVRIL,offer,KHERDJA VOYAGE & TOURISME,57000.0,1.0,,57000.0,2,budget
Ghardaïa par avion Mars,offer,KHERDJA VOYAGE & TOURISME,44900.0,1.0,,44900.0,2,budget
"Agence de voyages cherche chef d'agence avec experience dans tourisme, agent commerciale & marketing",offer,Société de nettoyage Alger,50000.0,1.0,,50000.0,2,budget
Workshop Tourism & Catering,offer,Votre librairie en ligne,1500.0,1.0,,1500.0,2,budget
Rejoignez nous pour découvrir les paysages de l'Assekrem (TAMANRASSET),offer,KHERDJA VOYAGE & TOURISME,87000.0,1.0,,87000.0,2,budget
برنامج_رحلات_سوسة_بالحافلة_شهر_أفريل,offer,Access Tourisme & Services,32000.0,1.0,,32000.0,2,budget
"Projets tourismes au bord de la mer, aquaparc, terrains, Bengallow etc...",offer,codin immo,1.0,1.0,,1.0,2,budget
visa chine,offer,EL KINANA VOYAGE,14000.0,1.0,,14000.0,2,budget
Agence de voyage,offer,edenvoyage,1.0,1.0,,1.0,2,budget
عطلة_الربيع_سوسة_بالحافلة_23_و29_مارس,offer,Access Tourisme & Services,30000.0,1.0,,30000.0,2,budget
برنامج رحلات سوسة بالحافلة23 مارس,offer,Access Tourisme & Services,37000.0,1.0,,37000.0,2,budget
رحلات_سوسة_بالحافلة_عطلة_الربيع_23_مارس,offer,Access Tourisme & Services,40000.0,1.0,,40000.0,2,budget
برنامج رحلات سوسة بالحافلة_24جانفي,offer,Access Tourisme & Services,38000.0,1.0,,38000.0,2,budget
برنامج رحلات سوسة بالحافلة08 جانفي,offer,Access Tourisme & Services,38000.0,1.0,,38000.0,2,budget
برنامج_عطلة_الشتاء_جربة_بالحافلة_19_ديسمبر,offer,Access Tourisme & Services,59000.0,1.0,,59000.0,2,budget
برنامج عطلة الشتاء سوسة بالحافلة19ديسمبر,offer,Access Tourisme & Services,40000.0,1.0,,40000.0,2,budget
جربة 02 ديسمبر 2025,offer,Access Tourisme & Services,50000.0,1.0,,50000.0,2,budget
برنامج رحلات سوسة بالحافلة01ديسمبر,offer,Access Tourisme & Services,35000.0,1.0,,35000.0,2,budget
VOYAGE ORGANISE ISTANBUL DECEMBRE 2025,offer,Access Tourisme & Services,129000.0,1.0,,129000.0,2,budget
VOYAGE ORGANISE DJERBA NOVEMBRE 2025,offer,Access Tourisme & Services,56500.0,1.0,,56500.0,2,budget
برنامج رحلات سوسة بالحافلة نوفمبر,offer,Access Tourisme & Services,35000.0,1.0,,35000.0,2,budget
DJERBA OCTOBRE 2025,offer,Access Tourisme & Services,56500.0,1.0,,56500.0,2,budget
voyage organisé istanbul novembre 2024,offer,Access Tourisme & Services,129000.0,1.0,,129000.0,2,budget
Offre djarba,offer,Access Tourisme & Services,39990.0,1.0,,39990.0,2,budget
Voyage Organisé aux États Unis,offer,Access Tourisme & Services,810000.0,1.0,,810000.0,0,mid-range
رحلات_منظمة بالحافلة إلى سوسة 25جوان,offer,Access Tourisme & Services,35000.0,1.0,,35000.0,2,budget
PROMO TUNISIE,offer,Access Tourisme & Services,25990.0,1.0,,25990.0,2,budget
Entre Dubai et la malaisie,offer,Access Tourisme & Services,118000.0,1.0,,118000.0,2,budget
Voyage Organisé Combine Moscow-Saint Petersburg,offer,Access Tourisme & Services,299000.0,1.0,,299000.0,0,mid-range
LA MALAISIE VOUS ATTEND,offer,Access Tourisme & Services,89000.0,1.0,,89000.0,2,budget
Formateur TOURISME ET Hôtellerie,offer,Education & Formations,1.0,1.0,,1.0,2,budget
Voyage Organisé Istanbul AVRIL 2026,offer,LOVER TRAVEL,120000.0,1.0,,120000.0,2,budget
Voyage organisé egypte,offer,Cheval Blanc Voyages,189000.0,1.0,,189000.0,0,mid-range
Voyage organisé Istanbul 2025,offer,Numidia travel Constantine,148000.0,1.0,,148000.0,2,budget
